2398
2398   ********    626 : [1.0, 0.0]
2398   ********    627 : [0.6, 0.4]
2398   ********    628 : [0, 0]
2398   ********    629 : [0, 0]
2398   ********    630 : [0.75, 0.25]
2398   ********    631 : [0.6666666666666666, 0.3333333333333333]
2398   ********    632 : [0, 0]
2398   ********    633 : [0.9230769230769231, 0.07692307692307693]
2398   ********    634 : [0, 0]
2398   ********    635 : [1.0, 0.0]
2398   ********    636 : [1.0, 0.0]
2398   ********    637 : [0, 0]
2398   ********    638 : [1.0, 0.0]
2398   ********    639 : [0.8823529411764706, 0.11764705882352941]
2398   ********    640 : [1.0, 0.0]
2398   ********    641 : [0, 0]
2398   ********    642 : [1.0, 0.0]
2398   ********    643 : [0, 0]
2398   ********    644 : [0, 0]
2398   ********    645 : [0, 0]
2398   ********    646 : [0, 0]
2398   ********    647 : [0.6666666666666666, 0.3333333333333333]
2398   ********    648 : [1.0, 0.0]
2398   ********    649 : [0, 0]
2398   ********    650 : [1.0, 0.0]
2398   ********    651 : [1.0, 0.0]
2398   ********    652 : [0.0, 1.0]
2398   ********    653 : [1.0, 0.0]
2398   ********    654 : [0, 0]
2398   ********    655 : [0.6666666666666666, 0.3333333333333333]
2398   ********    656 : [1.0, 0.0]
2398   ********    657 : [1.0, 0.0]
2398   ********    658 : [0.0, 1.0]
2398   ********    659 : [1.0, 0.0]
2398   ********    660 : [0.6, 0.4]
2398   ********    661 : [1.0, 0.0]
2398   ********    662 : [0, 0]
2398   ********    663 : [0.7333333333333333, 0.26666666666666666]
2398   ********    664 : [0.5, 0.5]
2398   ********    665 : [0.9, 0.1]
2398   ********    666 : [0, 0]
2398   ********    667 : [0, 0]
2398   ********    668 : [0, 0]
2398   ********    669 : [0.75, 0.25]
2398   ********    670 : [0.5, 0.5]
2398   ********    671 : [0, 0]
2398   ********    672 : [0.8571428571428571, 0.14285714285714285]
2398   ********    673 : [0, 0]
2398   ********    674 : [1.0, 0.0]
2398   ********    675 : [0, 0]
2398   ********    676 : [0, 0]
2398   ********    677 : [1.0, 0.0]
2398   ********    678 : [0.625, 0.375]
2398   ********    679 : [1.0, 0.0]
2398   ********    680 : [1.0, 0.0]
2398   ********    681 : [0, 0]
2398   ********    682 : [0.5, 0.5]
2398   ********    683 : [1.0, 0.0]
2398   ********    684 : [0.75, 0.25]
2398   ********    685 : [1.0, 0.0]
2398   ********    686 : [1.0, 0.0]
2398   ********    687 : [1.0, 0.0]
2398   ********    688 : [0, 0]
2398   ********    689 : [0, 0]
2398   ********    690 : [0.7692307692307693, 0.23076923076923078]
2398   ********    691 : [0, 0]
2398   ********    692 : [1.0, 0.0]
2398   ********    693 : [0.0, 1.0]
2398   ********    694 : [0, 0]
2398   ********    695 : [0.0, 1.0]
2398   ********    696 : [0.7142857142857143, 0.2857142857142857]
2398   ********    697 : [0, 0]
2398   ********    698 : [0, 0]
2398   ********    699 : [1.0, 0.0]
2398   ********    700 : [1.0, 0.0]
2398   ********    701 : [1.0, 0.0]
2398   ********    702 : [0, 0]
2398   ********    703 : [0, 0]
2398   ********    704 : [0.6666666666666666, 0.3333333333333333]
2398   ********    705 : [1.0, 0.0]
2398   ********    706 : [0.7, 0.3]
2398   ********    707 : [0, 0]
2398   ********    708 : [1.0, 0.0]
2398   ********    709 : [0, 0]
